days,target1,target2,target3,target4,target5,target6,target7,target8,target9,target10,target11,target12,target13,target14,target15,target16,target17,target18
0,-0.00008436611,0.0009898457,0.00045184814,0.00010193703,-0.00027207093,-0.0027844994,-0.026610624,-0.0032896737,,-0.0026274766,-0.0007163475,-0.0037589497,0.00000094459335,-0.0045441133,0.000053907454,-0.0007684626,-0.000026980979,0.0000009220665
7,-0.000645421,-0.00003876487,-0.0008284118,-0.00009857574,-0.000078142366,-0.0013630838,-0.0143182855,-0.008224655,,-0.0015205172,-0.0020005808,-0.012650296,0.000037812963,-0.00025629535,-0.000008824018,-0.0068880324,-0.000004108471,-0.007783722
14,-0.0005589727,0.00012146367,0.000014698677,-0.00004340941,-0.0006397615,-0.0013703767,-0.000058117952,-0.0013391005,,-0.015388972,-0.000050238596,-0.00003447617,-0.000000032590332,-0.0010384031,0.00011559493,-0.0011076714,-0.000021876973,-0.0000010809138
21,-0.02317504,0.0038207485,0.0011159165,0.000065244254,-0.00045661937,-0.0010613392,-0.000002954627,-0.0046208845,,-0.0017701903,-0.000017170512,-0.0021066153,0.000026508837,0.000112994785,0.0000020018035,-0.0000054419024,0.00008393962,0.000024490755
28,-0.002935669,0.0009216416,0.000019310803,0.00017584562,-0.00006692468,0.000008503393,-0.0002802922,-0.00006806064,,-0.0000793624,-0.0022457635,0.000025897409,0.0004163196,0.0015427358,-0.000000019161615,-0.0034933153,-0.002812588,0.0000027077203
35,0.0027204638,0.00033241976,0.00021135694,0.00023638834,,0.00019476838,0.0020560534,0.0000069526764,,-0.000006566974,0.00021182468,0.0005153245,0.00036194158,0.013845419,0.0017894015,-0.00016018245,-0.000013293234,0.0013522143
42,0.0001206645,0.0010794468,0.000043281114,0.00020909784,,0.0017832947,0.00006407109,0.0011641738,,0.000013755088,0.0046846857,0.00009815462,0.0060579134,0.00012586328,-0.00000077443553,0.0000035639036,-0.0000006761073,0.00010011374
49,0.020278824,0.014959376,0.007527453,0.000024018982,,0.00006873525,0.00075971667,0.0001826952,,0.000017476346,0.00010216837,0.00007178228,0.033240784,0.003423687,-0.002565448,0.00021352513,-0.00045498807,0.0011505979
56,0.034877736,0.0009343968,0.00004597573,0.0006353012,,0.000072274976,0.005065249,0.00026263713,,-0.000007857319,0.006433472,0.000000091818855,0.000028499611,0.00007465266,-0.00000073488314,0.00002406423,0.00006352178,0.0016720669
63,0.0013835416,0.001010926,0.00003397808,0.000581958,,-0.00026395047,0.00031883232,0.00043268732,,-0.0000009958076,0.00068589125,0.0004392539,0.005941244,0.0014843867,0.000026105648,0.002419128,0.0003137608,0.011009407
70,0.0033383623,0.00009982672,0.0034809809,0.0011078196,,0.00014584903,0.00011366022,0.000000022171873,,-0.000033922148,0.00040274663,0.0028339385,0.0018607868,0.000283994,-0.00000013736377,0.007924669,0.0007616601,0.003947945
77,-0.00013198255,0.000037423957,0.00058059045,0.0002472156,,0.0018789173,0.0000018062777,0.0010488994,,0.00067269505,0.0019294124,0.00004630232,0.0019688103,0.00016523816,-0.0011887164,0.004784569,0.000010541068,0.0000037611214
84,-0.0002161789,-0.0013414343,-0.00002672745,0.000026002981,,-0.000056020242,-0.00026611943,0.00007567486,,-0.000011043517,0.00005017256,-0.0014038624,0.0013164412,-0.00011631898,-0.0002553565,-0.0007977216,-0.00033805918,-0.00014699508
91,-0.0013022718,-0.0000065330223,-0.0002274517,-0.0003943643,,-0.0014878463,-0.00033522875,-0.0001141297,,-0.0018649747,-0.0002192216,-0.010498547,-0.011144287,-0.08298057,-0.0000007821397,-0.009276029,-0.00004107653,-0.004175608
98,-0.0025721465,-0.0035580336,-0.000021117296,-0.004472269,,-0.00018854973,-0.0024581647,-0.0005052565,,-0.0006157227,-0.0026101775,-0.000024681569,-0.0002746668,-0.00076131476,-0.0000024970786,-0.0000909074,-0.00008476416,-0.000078105964
105,-0.0015273296,-0.00000032802643,-0.000043576933,-0.00014206854,,-0.0009062626,-0.0016514254,-0.0013573457,,-0.00042409918,-0.031212406,-0.0005096177,-0.0019272368,-0.0018396951,-0.0023955817,-0.0009037965,-0.002164945,-0.00002712682
112,-0.000024322379,-0.00000022612807,-0.0046162675,-0.00022616316,,-0.00052428973,-0.0002722681,-0.000100887264,,-0.00007715836,-0.0027854294,-0.00010176025,-0.001295667,0.000061212275,-0.0020716211,-0.012866127,-0.00006190171,-0.0033485056
119,0.00046226213,-0.000022573393,-0.00005381047,-0.0005518329,,-0.00013061974,-0.000012004491,0.00018749198,,-0.013224026,-0.03406362,0.000005269672,-0.000118019285,0.000101630976,-0.000000687091,-0.00076579885,0.000090103225,-0.000043864366
126,0.0003364907,-0.0066988114,-0.011628886,-0.0017344994,,-0.00034954547,-0.00016590841,0.00000080998876,,,-0.0002719296,-0.007256391,-0.0020497725,-0.00018147094,-0.00029527204,-0.000009384541,0.000018334125,-0.0017853195
133,0.000052846706,0.0070076347,-0.00032363937,-0.00004490298,,0.00020927752,0.007186969,0.0001673318,,,-0.00000040223316,0.00002367893,-0.000052835014,0.000020948497,0.0002008805,-0.00005419317,0.00028479623,-0.000000020726157
140,0.0009771504,0.00023290423,0.0014866083,0.00037892011,,0.007292051,0.0005519947,0.00080969057,,,0.00077021937,0.0066133277,-0.0018180015,0.00009565267,0.000027937382,0.000018760746,0.00056235626,0.0037393412
147,0.00010172757,0.0000026092478,-0.000046039382,-0.00003964948,,0.000047116628,-0.00026929492,-0.000028396169,,,-0.00018028314,0.000025380641,-0.000042051044,0.00018968318,-0.007476574,-0.00017329158,-0.00040249038,-0.00000064113203
154,0.0039657657,0.000120296274,-0.00033005982,0,,0.00022451757,-0.0009829451,-0.003850463,,,-0.00005841485,0.00095267646,-0.000355765,0.00059617,-0.000019066169,0.001068624,-0.0000026307837,0.0007562292
161,-0.0017558371,0.000000046372623,-0.0021441255,-0.000100070225,,-0.000024277724,-0.015826857,-0.00038098122,,,-0.000038306513,0.0075914976,-0.00003744,0.000021834365,-0.0003835707,-0.000032655254,-0.00006432152,0.0000062073677
168,-0.00024909835,-0.00028653993,-0.0023611255,-0.0022595238,,-0.0049155885,-0.0003711552,-0.0009789462,,,-0.000083193845,0.000009914807,-0.00033851844,-0.00011433749,-0.0009758356,-0.00040764993,-0.00708431,-0.000019205447
175,0.000020044245,0.033234786,0.000047454716,0.0003203284,,0.00012874219,0.00046424303,0.000048168902,,,0.0001933011,0.0010949811,0.0008476886,0.000018297027,0.000008912394,0.0005353198,0.000051678973,0.00024315622
